"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","error.message","event.dataset","event.ingested","event.module","event.original","event.timezone","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset","service.type"
"Oct 24, 2022 @ 23:28:51.971",R96cCoQBDsc6tFfScAdR,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:28:44 dvwa_web sshd[256577]: error: kex_exchange_identification: Connection closed by remote host]","system.auth","Oct 24, 2022 @ 23:28:55.366",system,"Oct 24 23:28:44 dvwa_web sshd[256577]: error: kex_exchange_identification: Connection closed by remote host","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","3,967",system
"Oct 24, 2022 @ 23:28:51.971",c96cCoQBDsc6tFfSfjhX,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:28:44 dvwa_web sshd[256577]: Connection closed by 10.10.10.10 port 45464]","system.auth","Oct 24, 2022 @ 23:28:58.960",system,"Oct 24 23:28:44 dvwa_web sshd[256577]: Connection closed by 10.10.10.10 port 45464","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","4,075",system
"Oct 24, 2022 @ 23:28:06.942",Z9qbCoQBDsc6tFfS5qlB,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:28:01 dvwa_web CRON[256517]: pam_unix(cron:session): session closed for user root]","system.auth","Oct 24, 2022 @ 23:28:20.025",system,"Oct 24 23:28:01 dvwa_web CRON[256517]: pam_unix(cron:session): session closed for user root","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","3,875",system
"Oct 24, 2022 @ 23:28:06.942",0dqbCoQBDsc6tFfS2W5g,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:28:01 dvwa_web CRON[256517]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 24, 2022 @ 23:28:16.729",system,"Oct 24 23:28:01 dvwa_web CRON[256517]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","3,631",system
"Oct 24, 2022 @ 23:28:06.942",0tqbCoQBDsc6tFfS2W5g,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:28:01 dvwa_web CRON[256517]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)]","system.auth","Oct 24, 2022 @ 23:28:16.729",system,"Oct 24 23:28:01 dvwa_web CRON[256517]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","3,765",system
"Oct 24, 2022 @ 23:27:11.926","AdeaCoQBDsc6tFfS_ViA",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:27:08 dvwa_web sshd[256478]: Connection closed by 10.10.10.10 port 51190]","system.auth","Oct 24, 2022 @ 23:27:20.433",system,"Oct 24 23:27:08 dvwa_web sshd[256478]: Connection closed by 10.10.10.10 port 51190","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","3,548",system
"Oct 24, 2022 @ 23:27:11.926",MteaCoQBDsc6tFfS7kYk,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:27:08 dvwa_web sshd[256478]: error: kex_exchange_identification: Connection closed by remote host]","system.auth","Oct 24, 2022 @ 23:27:16.499",system,"Oct 24 23:27:08 dvwa_web sshd[256478]: error: kex_exchange_identification: Connection closed by remote host","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","3,440",system
"Oct 24, 2022 @ 23:27:04.925",fdeaCoQBDsc6tFfS2Bx6,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:27:01 dvwa_web CRON[256468]: pam_unix(cron:session): session closed for user root]","system.auth","Oct 24, 2022 @ 23:27:10.934",system,"Oct 24 23:27:01 dvwa_web CRON[256468]: pam_unix(cron:session): session closed for user root","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","3,348",system
"Oct 24, 2022 @ 23:27:04.925",gNeaCoQBDsc6tFfSxBbJ,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:27:01 dvwa_web CRON[256468]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 24, 2022 @ 23:27:05.927",system,"Oct 24 23:27:01 dvwa_web CRON[256468]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","3,104",system
"Oct 24, 2022 @ 23:27:04.925",gdeaCoQBDsc6tFfSxBbJ,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:27:01 dvwa_web CRON[256468]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)]","system.auth","Oct 24, 2022 @ 23:27:05.927",system,"Oct 24 23:27:01 dvwa_web CRON[256468]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","3,238",system
